其它,#genre#
康巴卫视,http://v2.91kds.cn/b9/sctv.m3u8?id=kbws&auth=rinimabi
辽宁卫视,http://218.15.229.90:9901/tsfile/live/0017_1.m3u8#http://111.225.92.130:8800/hls/36/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000#http://218.17.196.234:9901/tsfile/live/0018_1.m3u8#https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
辽宁卫视 (1080p),http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
内蒙古|内蒙古卫视,http://v2.91kds.cn/b9/hoge.m3u8?ip=nmtv&id=92&auth=rinimabi
内蒙古卫视,http://111.225.92.130:8800/hls/54/index.m3u8#http://218.13.170.98:9901/tsfile/live/0109_1.m3u8#http://222.175.159.226:808/hls/202366/index.m3u8#http://gmxw.7766.org:808/hls/60/index.m3u8#http://218.17.196.234:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://111.225.92.130:8800/hls/57/index.m3u8#http://222.175.159.226:808/hls/202367/index.m3u8#http://218.13.170.98:9901/tsfile/live/0112_1.m3u8#http://61.169.37.218:9901/tsfile/live/0125_1.m3u8?key=txiptv#http://58.220.219.14:9901/tsfile/live/0112_1.m3u8?key=txiptv#http://222.240.82.92:9901/tsfile/live/0112_1.m3u8
青海|青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8#http://218.15.229.90:9901/tsfile/live/0140_1.m3u8#http://111.225.92.130:8800/hls/55/index.m3u8#http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484#http://218.13.170.98:9901/tsfile/live/0140_1.m3u8#http://61.169.37.218:9901/tsfile/live/0142_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0140_1.m3u8#http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030#http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8#http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
青海卫视 (576p),https://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8#http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
山东卫视,http://218.15.229.90:9901/tsfile/live/0131_1.m3u8#http://111.225.92.130:8800/hls/37/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000#http://221.2.36.34:8888/newlive/live/hls/30/live.m3u8#https://live.v1.mk/api/bestv.php?id=sdws8m/8000000#https://live.v1.mk/api/ghyx.php?id=ShanDongHD_6000
山东卫视 (1080p),http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8#https://live.sjsrm.com/bjsjs/sd/live.m3u8#https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
山西卫视,http://218.15.229.90:9901/tsfile/live/0118_1.m3u8#http://111.225.92.130:8800/hls/53/index.m3u8#http://live.cooltv.top/tv/tide.php?id=sxiws2#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8?#http://61.169.37.218:9901/tsfile/live/0123_1.m3u8?key=txiptv#http://222.175.159.226:808/hls/202364/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8#http://222.240.82.92:9901/tsfile/live/0118_1.m3u8
山西卫视 (576p),http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
陕西卫视,http://218.15.229.90:9901/tsfile/live/0136_1.m3u8#http://111.225.92.130:8800/hls/52/index.m3u8#http://61.169.37.218:9901/tsfile/live/0116_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0136_1.m3u8#http://222.175.159.226:808/hls/202365/index.m3u8#http://222.71.90.218:8888/newlive/live/hls/45/live.m3u8#http://113.117.74.28:8081/hls/109/index.m3u8
陕西卫视 (576p),http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
深圳卫视,https://iptv.luas.edu.cn/liverespath/536ebe8b7165b25c8670e42eb8b7b4b6d178f158/a98f61eca9-0-0-c5ea37622772aa5d5e0d8838c68c61d9/index.m3u8#http://218.15.229.90:9901/tsfile/live/0126_1.m3u8#http://111.225.92.130:8800/hls/44/index.m3u8#http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv#http://115.149.139.141:10001/tsfile/live/1032_1.m3u8#http://61.169.37.218:9901/tsfile/live/0124_1.m3u8?key=txiptv#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8?#https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000#http://221.2.36.34:8888/newlive/live/hls/28/live.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
四川卫视,http://218.15.229.90:9901/tsfile/live/0123_1.m3u8#http://111.225.92.130:8800/hls/41/index.m3u8#http://111.9.172.131:9901/tsfile/live/0004_1.m3u8#http://61.169.37.218:9901/tsfile/live/0131_1.m3u8?key=txiptv#http://221.2.36.34:8888/newlive/live/hls/32/live.m3u8#https://live.v1.mk/api/ghyx.php?id=SiChuanHD_6000
天津卫视,http://218.15.229.90:9901/tsfile/live/0135_1.m3u8#http://111.225.92.130:8800/hls/35/index.m3u8#http://gmxw.7766.org:808/hls/42/index.m3u8#http://218.17.196.234:9901/tsfile/live/0135_1.m3u8#https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000#http://221.2.36.34:8888/newlive/live/hls/42/live.m3u8#https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
西藏卫视,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/xzws/2500000/mnf.m3u8#http://111.225.92.130:8800/hls/58/index.m3u8#http://61.169.37.218:9901/tsfile/live/0120_1.m3u8?key=txiptv#http://gmxw.7766.org:808/hls/64/index.m3u8#http://58.220.219.14:9901/tsfile/live/0120_5.m3u8?key=txiptv#http://221.2.36.34:8888/newlive/live/hls/37/live.m3u8#http://222.175.159.226:808/hls/202371/index.m3u8#http://222.71.90.218:8888/newlive/live/hls/44/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
新疆卫视,http://111.225.92.130:8800/hls/59/index.m3u8#http://gxdl-lhs.8866.org:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0#https://iptv.luas.edu.cn/liverespath/d75bf52e702ca0fb44344fc2e86e7675ac112ec7/da8869bb58-0-0-456269e3068e187c614daaeee51bb7fb/index.m3u8#http://58.220.219.14:9901/tsfile/live/0120_6.m3u8?key=txiptv#http://222.175.159.226:808/hls/202368/index.m3u8#http://113.117.74.28:8081/hls/82/index.m3u8#http://113.117.74.28:8081/hls/104/index.m3u8#http://221.2.36.34:8888/newlive/live/hls/38/live.m3u8
新疆卫视 (576p),https://live.wjyanghu.com/live/CH1.m3u8#http://live.wjyanghu.com/live/CH1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8#http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8#http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8#http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
云南卫视,https://iptv.luas.edu.cn/liverespath/d45a277ca433670e3f463b497783af19bb2c63f8/3f1dcf4cf3-0-0-3f0618b5bab73c0ebb1be6c66ccbf65d/index.m3u8#http://111.225.92.130:8800/hls/38/index.m3u8#http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8#http://61.169.37.218:9901/tsfile/live/0113_1.m3u8?key=txiptv#http://gmxw.7766.org:808/hls/52/index.m3u8#http://58.220.219.14:9901/tsfile/live/0119_1.m3u8?key=txiptv#http://222.175.159.226:808/hls/202360/index.m3u8#http://221.2.36.34:8888/newlive/live/hls/27/live.m3u8
云南卫视 (576p),http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
浙江|浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8#http://111.225.92.130:8800/hls/31/index.m3u8#http://58.220.219.14:9901/tsfile/live/0124_1.m3u8?key=txiptv#http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8#http://221.2.36.34:8888/newlive/live/hls/24/live.m3u8#https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000#http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787#http://hw-m-l.cztv.com/channels/lantian/channel05/720p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8?k#http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8#https://live.v1.mk/api/ghyx.php?id=ZheJiangHD_6000#http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江卫视 (1080p),https://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

澳门,#genre#
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8#https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8#https://pi.0472.org/tv/aoya.php?auth=230918

广东,#genre#
广东|大湾区卫视,http://v2.91kds.cn/b9/itouchtv.m3u8?fmt=hls&id=gdtvs2&auth=rinimabi
广东大弯区卫视,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156411&extension=ts

海外,#genre#
美国城市卫视,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156401&extension=ts

山西,#genre#
山西|高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8
山西|吉县新闻综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
山西|晋中公共频道,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
山西|晋中新闻频道,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
山西|灵石新闻综合,https://live-stream.lsxrmtzx.com/live/video.m3u8
山西|潞城新闻综合,http://59.48.42.6:62204/lucheng.m3u8
山西|宁武综合,https://fvsln5ps.live.sxmty.com/live/hls/7922d2cdc4734bb3921826418cfa992d/cd7756e2135a48758e73017d502d8ec1-1.m3u8
山西|山西法治,http://live.cooltv.top/tv/cutv.php?id=sxkj
山西|山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
山西|山西经济,http://liveflash.sxrtv.com/live/sxfinance.m3u8?sub_m3u8=true&edge_slice=true#http://live.cooltv.top/tv/cutv.php?id=sxjj
山西|山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8?sub_m3u8=true&edge_slice=true
山西|山西生活,http://live.cooltv.top/tv/cutv.php?id=sxgg
山西|山西文体生活,http://liveflash.sxrtv.com/live/sxpublic.m3u8?sub_m3u8=true&edge_slice=true
山西|山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true#http://live.cooltv.top/tv/cutv.php?id=sxys
山西|五台综合,https://568slnjf.live.sxmty.com/live/hls/90c8b2efeb164cc0a6c2409eed668d6b/f77cbb89ec57435b9ba4c47589c16e4f-1.m3u8
山西|武乡新闻综合,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8
山西|原平综合,http://xkmspyxn.live.sxmty.com/live/hls/65072fcc05414062bf02088d2a2a77b2/9da977614b044ef59d11779e997a12f8-1.m3u8
山西|运城公共频道,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
山西|运城科技教育,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
山西|运城新闻综合,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
山西|长子综合频道,http://zzlive.zzc-media.com:8092/live/xwzh.m3u8
山西经济与科技,http://live.cooltv.top/tv/tide.php?id=sxjj
山西社会与法治,http://live.cooltv.top/tv/tide.php?id=sxshfz
山西文体生活,http://live.cooltv.top/tv/tide.php?id=sxwtsh
山西影视,http://live.cooltv.top/tv/tide.php?id=sxys

香港,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视-2,https://epg.pw/stream/99980f8e82d6d4111c77f2fe961013e7d1ee153a55c7a9be69cfa17143933fd1.m3u8
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8

央视,#genre#
CCTV-01綜合,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV-02財經,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-03綜藝,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV-08電視劇,http://222.240.82.92:9901/tsfile/live/0008_1.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1 综合,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV-10,http://111.225.92.130:8800/hls/10/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
